"Benchmark","Mode","Threads","Samples","Score","Score Error (90.0%)","Relative Score Error (90.0%)","Score Error (95.0%)","Relative Score Error (95.0%)","Score Error (99.9%)","Relative Score Error (99.9%)","Median Score","Median Absolute Deviation","Relative Median Absolute Deviation","Unit","Param: dataType","Param: multimapValueSize","Param: producer","Param: run","Param: sampleDataSelection","Param: size","Param: stepSizeOneToOneSelector","Param: valueFactoryFactory"
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,29.111246,0.239107,0.008214,0.295070,0.010136,0.623611,0.021422,29.261588,0.191332,0.006539,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,262144,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,40.056563,0.450408,0.011244,0.555827,0.013876,1.174701,0.029326,39.999020,0.566884,0.014172,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,262144,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,33.350826,0.167794,0.005031,0.207066,0.006209,0.437620,0.013122,33.364898,0.228297,0.006842,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,524288,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,42.788146,0.282630,0.006605,0.348780,0.008151,0.737122,0.017227,42.864667,0.404916,0.009446,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,524288,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,34.437248,0.391673,0.011374,0.483344,0.014036,1.021515,0.029663,34.509808,0.428389,0.012414,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,1048576,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,45.430118,0.308623,0.006793,0.380857,0.008383,0.804915,0.017718,45.257901,0.375034,0.008287,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,1048576,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,37.215789,0.302895,0.008139,0.373788,0.010044,0.789976,0.021227,37.074404,0.302658,0.008164,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,2097152,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,47.995269,0.748666,0.015599,0.923893,0.019250,1.952585,0.040683,47.314910,0.240225,0.005077,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,2097152,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,36.972120,0.447722,0.012110,0.552513,0.014944,1.167697,0.031583,36.580699,0.282184,0.007714,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,4194304,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,47.159091,0.388936,0.008247,0.479967,0.010178,1.014377,0.021510,47.411181,0.537440,0.011336,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,4194304,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,39.489300,0.145454,0.003683,0.179498,0.004545,0.379356,0.009607,39.453510,0.183612,0.004654,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,8388608,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,50.623762,0.521181,0.010295,0.643165,0.012705,1.359284,0.026851,50.554542,0.755095,0.014936,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,8388608,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,9.961193,0.075068,0.007536,0.092638,0.009300,0.195784,0.019655,9.926941,0.087999,0.008865,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,1,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,10.847454,0.114218,0.010530,0.140951,0.012994,0.297891,0.027462,10.871607,0.136592,0.012564,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,1,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,10.152677,0.088216,0.008689,0.108864,0.010723,0.230076,0.022662,10.125681,0.105933,0.010462,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,2,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,10.992812,0.078421,0.007134,0.096776,0.008804,0.204528,0.018606,11.003037,0.125997,0.011451,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,2,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,9.599671,0.071901,0.007490,0.088730,0.009243,0.187524,0.019534,9.540556,0.066482,0.006968,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,4,1,VF_CHAMP_MAP_AS_MULTIMAP
